Fasce Età,Vaccinati,Data
16-19,857,2021-01-10
20-29,61.231,2021-01-10
30-39,98.940,2021-01-10
40-49,126.900,2021-01-10
50-59,166.211,2021-01-10
60-69,94.171,2021-01-10
70-79,12.948,2021-01-10
80-89,16.132,2021-01-10
90+,12.408,2021-01-10
