Fasce Età,Vaccinati,Data
16-19,200,2020-01-05
20-29,18.989,2020-01-05
30-39,32.111,2020-01-05
40-49,41.448,2020-01-05
50-59,52.377,2020-01-05
60-69,27.691,2020-01-05
70-79,2.725,2020-01-05
80-89,3.923,2020-01-05
90+,2.978,2020-01-05
