Fasce Età,Vaccinati,Data
16-19,1.453,2021-01-11
20-29,77.302,2021-01-11
30-39,118.866,2021-01-11
40-49,152.680,2021-01-11
50-59,200.369,2021-01-11
60-69,114.064,2021-01-11
70-79,17.458,2021-01-11
80-89,20.910,2021-01-11
90+,15.695,2021-01-11
