Fasce Età,Vaccinati,Data
16-19,368,2021-01-06
20-29,33.084,2021-01-06
30-39,55.852,2021-01-06
40-49,71.104,2021-01-06
50-59,91.507,2021-01-06
60-69,50.642,2021-01-06
70-79,5.670,2021-01-06
80-89,7.208,2021-01-06
90+,5.642,2021-01-06
