Fasce Età,Vaccinati,Data
16-19,132,2021-01-03
20-29,12.387,2021-01-03
30-39,20.789,2021-01-03
40-49,27.320,2021-01-03
50-59,33.709,2021-01-03
60-69,17.894,2021-01-03
70-79,1.751,2021-01-03
80-89,2.624,2021-01-03
90+,1.948,2021-01-03
