Fasce Età,Vaccinati,Data
16-19,1.692,2021-01-12
20-29,86.696,2021-01-12
30-39,130.947,2021-01-12
40-49,168.823,2021-01-12
50-59,221.817,2021-01-12
60-69,126.232,2021-01-12
70-79,20.585,2021-01-12
80-89,25.052,2021-01-12
90+,18.886,2021-01-12
