Fasce Età,Vaccinati,Data
16-19,171,2020-01-04
20-29,16.606,2020-01-04
30-39,27.911,2020-01-04
40-49,36.346,2020-01-04
50-59,45.388,2020-01-04
60-69,23.333,2020-01-04
70-79,2.298,2020-01-04
80-89,3.484,2020-01-04
90+,2.642,2020-01-04
