Fasce Età,Vaccinati,Data
16-19,487,2021-01-07
20-29,42.191,2021-01-07
30-39,71.084,2021-01-07
40-49,90.714,2021-01-07
50-59,117.658,2021-01-07
60-69,64.825,2021-01-07
70-79,7.795,2021-01-07
80-89,9.997,2021-01-07
90+,7.868,2021-01-07
