Fasce Età,Vaccinati,Data
16-19,280,2021-01-05
20-29,25.979,2021-01-05
30-39,45.309,2021-01-05
40-49,58.392,2021-01-05
50-59,74.751,2021-01-05
60-69,40.348,2021-01-05
70-79,4.127,2021-01-05
80-89,5.774,2021-01-05
90+,4.521,2021-01-05
