Fasce Età,Vaccinati,Data
16-19,1.692,2021-01-13
20-29,86.696,2021-01-13
30-39,130.947,2021-01-13
40-49,168.823,2021-01-13
50-59,221.817,2021-01-13
60-69,126.232,2021-01-13
70-79,20.585,2021-01-13
80-89,25.052,2021-01-13
90+,18.886,2021-01-13
