Fasce Età,Vaccinati,Data
16-19,280,2020-01-06
20-29,26.136,2020-01-06
30-39,45.562,2020-01-06
40-49,58.720,2020-01-06
50-59,75.135,2020-01-06
60-69,40.512,2020-01-06
70-79,4.171,2020-01-06
80-89,5.847,2020-01-06
90+,4.585,2020-01-06
