Fasce Età,Vaccinati,Data
16-19,455,2020-01-07
20-29,39.256,2020-01-07
30-39,65.713,2020-01-07
40-49,83.863,2020-01-07
50-59,108.173,2020-01-07
60-69,58.842,2020-01-07
70-79,7.102,2020-01-07
80-89,9.227,2020-01-07
90+,7.279,2020-01-07
