Fasce Età,Vaccinati,Data
16-19,616,2021-01-08
20-29,51.870,2021-01-08
30-39,85.793,2021-01-08
40-49,110.336,2021-01-08
50-59,143.873,2021-01-08
60-69,78.983,2021-01-08
70-79,10.148,2021-01-08
80-89,12.957,2021-01-08
90+,10.011,2021-01-08
