Fasce Età,Vaccinati,Data
16-19,189,2021-01-04
20-29,18.654,2021-01-04
30-39,31.585,2021-01-04
40-49,40.676,2021-01-04
50-59,51.243,2021-01-04
60-69,27.076,2021-01-04
70-79,2.692,2021-01-04
80-89,3.880,2021-01-04
90+,2.944,2021-01-04
